PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,11:45-13:15 wykład immunologia,
,,,,
,,,14:00-17:00 biochemiczne podłoże chorób,
,,,,
,,,,
,,,,
26.12.,27.12.,28.12.,29.12.,30.12.
WOLNE,WOLNE,WOLNE,WOLNE,WOLNE
,,,,
,,,,
,,,,
,,,,
,,,,
2.01.,3.01.,4.01.,5.01.,6.01.
WOLNE,WOLNE,WOLNE,WOLNE,WOLNE
,,,,
,,,,
,,,,
,,,,
,,,,
9.01.,10.01.,11.01.,12.01.,13.01.
8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 ,8:00-11:00 
mikrobiologia,mikrobiologia,mikrobiologia,mikrobiologia,mikrobiologia
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,,
,,,14:00-16:45 biochemiczne podłoże chorób,13:30-15:45 fizjologia
,,,,
,,,,
,,,,
,,,,
16.01.,17.01.,18.01.,19.01.,20.01.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,,
,,,14:00-15:30 biochemiczne podłoże chorób,13:30-15:45 fizjologia
14:00-16:15 patofizjologia,,,,
,,,,
,,,,
,,,,
23.01.,24.01.,25.01.,26.01.,27.01.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób,molekularne podłoże chorób
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,,
,,,,
14:00-16:15 patofizjologia,,,,
,,,,
,,,,
,,,,
30.01.,31.01.,1.02.,2.02.,3.02.
,,,,
,,,,
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,,
,,,,
14:00-16:15 patofizjologia,,,,
,,,,
6.02.,7.02.,8.02.,9.02.,10.02.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
historia medycyny,historia medycyny,historia medycyny,historia medycyny,historia medycyny
,,,,
11:45-13:15 wykład patomorfologia,13:00-14:30 angielski,11:45-13:15 wykład psychologia ,,
,,,,
14:00-16:15 patofizjologia,,,,
,,,,
13.02.,14.02.,15.02.,16.02.,17.02.
WOLNE,WOLNE,WOLNE,WOLNE,WOLNE
,,,,
,,,,
,,,,
,,,,
,,,,
20.02.,21.02.,22.02.,23.02.,24.02.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
procedury medyczne,procedury medyczne,procedury medyczne,procedury medyczne,procedury medyczne
,,,,
11:30-12:15 wykład patomorfologia,13:00-14:30 angielski,,,
,,,,15:45-18:00 patomorfologia
13:45-16:00 patofizjologia,,,,
,,,,
27.02.,28.02.,1.03.,2.03.,3.03.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,15:00-18:45 profesjonalizm,15:45-18:00 patomorfologia
,,,,
,,,,
6.03.,7.03.,8.03.,9.03.,10.03.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
wpr. do chorób wewnętrznych,wpr. do chorób wewnętrznych,wpr. do chorób wewnętrznych,wpr. do chorób wewnętrznych,wpr. do chorób wewnętrznych
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
,,,,
13.03.,14.03.,15.03.,16.03.,17.03.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
,,,,
20.03.,21.03.,22.03.,23.03.,24.03.
8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00,8:00-11:00
psychologia,psychologia,psychologia,psychologia,psychologia
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
,,,,
27.03.,28.03.,29.03.,30.03.,31.03.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
,,,,
3.04.,4.04.,5.04.,6.04.,7.04.
,,WOLNE,WOLNE,WOLNE
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,,,
,,,,
,,,,
,,,,
10.04.,11.04.,12.04.,13.04.,14.04.
WOLNE,WOLNE,,,
,,,,
,,,,
,,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
17.04.,18.04.,19.04.,20.04.,21.04.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,15:45-18:00 patomorfologia
,,,,
,,,,
24.04.,25.04.,26.04.,27.04.,28.04.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,
,,,,
,,,,
1.05.,2.05.,3.05.,4.05.,5.05.
WOLNE,WOLNE,WOLNE,,
,,,,
,,,,
,,,,
,,,,
,,,,
8.05.,9.05.,10.05.,11.05.,12.05.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,
,,,,
,,,,
15.05.,16.05.,17.05.,18.05.,19.05.
8:00-11:00,8:00-11:00,WOLNE,8:00-11:00,8:00-11:00
patomorfologia (seminaria),patomorfologia (seminaria),,patomorfologia (seminaria),patomorfologia (seminaria)
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,,,
,,,,
,,,,
,,,,
22.05.,23.05.,24.05.,25.05.,26.05.
,,,,
,,,,
,,,,
13:45-16:00 patofizjologia,13:00-14:30 angielski,11:30-13:45 wf,,
,,,,
,,,,
,,,,
29.05.,30.05.,31.05.,1.06.,2.06.
,,,,
,,,,
,,,,
,13:00-14:30 angielski,,,
,,,,
,,,,
,,,,
5.06.,6.06.,7.06.,8.06.,9.06.
,,,WOLNE,WOLNE
,,,,
,,,,
,13:00-14:30 angielski,,,
,,,,
,,,,
,,,,
12.06.,13.06.,14.06.,15.06.,16.06.
,,,,
,,,,
,,,,
,13:00-14:30 angielski,,,
,,,,
,,,,
,,,,
19.06.,20.06.,21.06.,22.06.,23.06.
